agent,pixelInput,navigationNoise,episode,x_value,z_value,distance,size,finalReward
Agent_32,32,0.8,x_22_z_2_size_0.2.yml,22,2,2.5,0.2,0.3075
Agent_32,32,0.8,x_18_z_26_size_1.4.yml,18,26,25.578311124857326,1.4,-0.9975971
Agent_32,32,0.8,x_26_z_10_size_0.4.yml,26,10,11.236102527122116,0.4,-0.02930078
Agent_32,32,0.8,x_2_z_2_size_1.2.yml,2,2,18.062391868188442,1.2,-0.9975971
Agent_32,32,0.8,x_10_z_2_size_0.2.yml,10,2,10.111874208078342,0.2,-0.020500839
Agent_32,32,0.8,x_14_z_34_size_0.6.yml,14,34,34.03307215048327,0.6,-0.9975971
Agent_32,32,0.8,x_34_z_38_size_1.0.yml,34,38,40.02811511925087,1.0,-0.9975971
Agent_32,32,0.8,x_38_z_2_size_1.6.yml,38,2,18.062391868188442,1.6,0.88960063
Agent_32,32,0.8,x_18_z_14_size_0.8.yml,18,14,13.647344063956181,0.8,-0.9975971
Agent_32,32,0.8,x_26_z_6_size_1.0.yml,26,6,8.139410298049853,1.0,0.68619984
Agent_32,32,0.8,x_22_z_22_size_1.4.yml,22,22,21.592822881689184,1.4,0.47060233
Agent_32,32,0.8,x_26_z_6_size_0.6.yml,26,6,8.139410298049853,0.6,0.28659987
Agent_32,32,0.8,x_38_z_38_size_0.2.yml,38,38,41.59627387158614,0.2,-0.9975971
Agent_32,32,0.8,x_38_z_2_size_0.8.yml,38,2,18.062391868188442,0.8,-0.9975971
Agent_32,32,0.8,x_26_z_38_size_1.6.yml,26,38,37.97696670351649,1.6,-0.9975971
Agent_32,32,0.8,x_6_z_26_size_0.8.yml,6,26,29.090376415577712,0.8,-0.9975971
Agent_32,32,0.8,x_22_z_38_size_2.0.yml,22,38,37.5532954612508,2.0,-0.9975971
Agent_32,32,0.8,x_34_z_30_size_1.6.yml,34,30,32.65348373451139,1.6,-0.9975971
Agent_32,32,0.8,x_26_z_18_size_1.4.yml,26,18,18.5,1.4,0.7370002
Agent_32,32,0.8,x_22_z_6_size_1.8.yml,22,6,5.852349955359813,1.8,1.3981994
Agent_32,32,0.8,x_30_z_6_size_1.6.yml,30,6,11.412712210513327,1.6,1.1791993
Agent_32,32,0.8,x_38_z_34_size_1.2.yml,38,34,38.029593739612835,1.2,-0.9975971
Agent_32,32,0.8,x_2_z_14_size_1.2.yml,2,14,22.5,1.2,-0.9975971
Agent_32,32,0.8,x_10_z_18_size_0.8.yml,10,18,20.155644370746373,0.8,-0.9975971
Agent_32,32,0.8,x_26_z_30_size_1.2.yml,26,30,30.103986446980738,1.2,-0.9975971
